"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Граничные значения для полей дат","","0","0","22","0","0"
"","Проверка окна ПМ","","2","0","22","0","0"
"","Смена ip в конфигураторе","","0","0","7","0","0"
"","Поиск серой брони","","0","0","3","0","0"
"","Запуск конфигуратора для проверки окон","","0","0","13","0","0"
"","Кнопки работы с файлом","","0","0","2","0","0"
"","Проверка подтвержденных броней","","0","0","11","0","0"
"","Закрытие конфигуратора","","0","0","2","0","0"
"","Поиск полей бронирований","","0","0","3","0","0"
"","Граничные значения для полей дат-негатив","","0","0","24","0","0"
"","Открытие фото паспорта из файла","","0","0","3","0","0"
"","Запуск ПМ","","0","0","5","0","0"
"","Проверка не верных паролей для конфигуратора","","0","0","1","0","0"
"","Закрыть ПМ","","0","0","3","0","0"
